Metin;Durum;Alan;Konu
Ürünün ilk kullanımda sorunu yoktu ancak daha sonra ekran parlaklığı azaldı ve tamamen gitti. dun teslim aldik aksam parlaklığı azaldı daha sonrada tamamen gitti;0;Teknoloji;ekran
24 saat içinde bozuldu hemen şarj ederken çok cızırtı çıkarıyor heran elimde patlayacak gibi ve yazılarının hepsi çince yazılmış hiçbirşey anlaşılmıyor;0;Teknoloji;şarj
Hayatımda gördüğüm en uyduruk şey. 7 yaşındaki kızıma aldım o bile anne bu ne böyle dedi. İçinden de ne fatura çıktı nede tv ye bağlanacak konsol gibi şey sakın ama sakın almayın tamamen hayal kırıklığı geri iade ediyorum;0;Teknoloji;kalite
Kalite olarak beğenmedim plastiği ekranı herşeyiyle 400 oyunu oynayamadan elinizde kalacak hissi veriyor;0;Teknoloji;kalite
Urun asiri derecede kalitesiz dis kismi plastik resmen ger an kirilacak gibi ve bataryadansorun var dolmuyor.fatirasids elimde yok ama geri gondermeye calisacagim paranizi bosa harcamayin derim cok kalitesiz;0;Teknoloji;kalite
berbat ötesi birşey kesinlikle tavsiye etmem ve ekran ciziklerle dolu 3310 telefondaki yılan oyunlari gibi verdigimiz paraya yazik açıklamalardaki hiç bir detaya uymuyor..;0;Teknoloji;ekran
"Bataryası bozuktu , şarjdan çıkartınca da çalışmıyordu . İade etmek istedim fakat iademi kabul etmediler ve ürünün iade reddinden sonrası bile iki hafta oldu hala elime ulaşmadı . Şikayet edeceğim bu firmayı da satanı da !";0;Teknoloji;şarj
ınstagram fenomenlerinden görüp alacaksanız almayın. görüntü kalitesi kötü şarj olmuyor (içinden çıkan aletle de denedim farklı bir kabloyla da denedim) hatta şarj bölmesi içeri göçtü hiç bişey yapmamama rağmen. paranız boşa gider benim gitti.;0;Teknoloji;kalite
"""Ekranı çizik ve hasar içinde geldi inanılacak gibi değil, sanki kullanılmıştı; küçücük koruyucu bir şey yapıştırmak bu kadar mı zor ya da maliyetli ya? Aşırı kalitesiz. Hediye olarak almıştım ama hediye edilemeyecek kadar kötü""";0;Teknoloji;ekran
sakin kimse almasin kirmizi istedim siyah yolladilar iade ettim geri yolladılar tuşları basmiyo kalitesiz sacma sapan bir ürün;0;Teknoloji;renk
Ürün bataryası çok kötü akşam dolsa sabah oynayamıyosun ekran pikseli çoook kötü iade etmek zorunda kaldım;0;Teknoloji;şarj
"Çocuk sevindirmek için aldığımız birşey.. asla kaliteli bişi beklemeyin.. BOZUK,ÇATLAK batarya ile göndermeleri de cabası..";0;Teknoloji;kalite
Öncelikle ürün kırmızı yazıyor oyle dıye aldım fakat siyah renk geldi ve camında çizikler var. Kargo çok yavaş 10 günde elime ulaştı. Sıfır ilgi tavsiye etmıyorm.;0;Teknoloji;renk
"ürün beklediğim gibi gelmedi hayal kırıklığına uğradım. Bizim neslin büyük ekranlarda takıldığını düşünürsek ekranı düşük, mat, karmaşık bi yapısı var. çok istemiyorsanız sakin almayin";0;Teknoloji;ekran
Ürün 48 saat şarj oldu ancak yine de şarja takılı olmadan çalışmadı resimdeki gibi bir ürün beklemeyin rengi yazıları soluk oyunları için birşey diyemiyorum çünkü göremedik iade ettim;0;Teknoloji;şarj
Ürün güzel fakat kısa sürede ekranı bozuldu beyaz bi görüntü var hiçbir şey görünmüyor nasıl yaptırılır onu da bilmiyorum;0;Teknoloji;ekran
Rezalet paranıza değmez gelen ürün dandik görünümlü plastik basit birşey renkleri canlı değil ekranı açılmıyor bozuk iade edicem;0;Teknoloji;kalite
"Şarjı çabuk bitiyor görüntü kalitesi iyi değil, idare ediyor.";2;Teknoloji;şarj
Ürün güzel fakat bazı zamanlarda ekran gidiyor geliyor;2;Teknoloji;ekran
cok kalitesiz bir ürün bu fiyata degmez iki kere iade ettim her gelen bir oncekinden kotuydu;0;Teknoloji;kalite
çok hızlı bozuldu şarj giriş yeri çok az sayıda güzel oyun var;0;Teknoloji;şarj
ürünü iade ediyorum ilk günden ekran kararmaya başladı ikinci gün tamamen karardı üzüldüm gerçekten;0;Teknoloji;ekran
urun guzel cok da zevkli ama iki gunde bataryasi şişti oynarken anlayamadik;2;Teknoloji;şarj
Maalesef ikinci oynamada ekran kararmaya başladı iade ediyorum;0;ekran
Tusları bozuldu sesi cıkmıyor toplam 10kez oynanmıstır;0;Teknoloji;kalite
goruntu kalitesi kotu oldugu icin iade ettim;0;Teknoloji;kalite
Görüntü kalitesi pek hoş değil;1;Teknoloji;kalite
Ekranının görüntüsünü sevmedim;0;Teknoloji;ekran
yere düştü 1 kere ve ekran gitti hiç açılmıyo;0;Teknoloji;ekran
Çok eğlenceli fakat ekranı çok küçük;0;Teknoloji;boyut
Ürün ıyı fakat bataryası yandı bir ay sonra;2;Teknoloji;şarj
açtım hemen kapandı ekrani;0;Teknoloji;ekran
Çok gereksizmiş tuşları kalitesiz görüntü kötü;0;Teknoloji;kalite
şarjı çok sıkıntılı ona göre alın;0;Teknoloji;şarj
Ekranı biraz küçük;0;Teknoloji;boyut
ürün biraz önce bana ulaştı. ekranı çizik içinde. kaç gün bekledim adana' dan gelsin diye. gelen ürün ekranı daha önce kullanılmış gibi.;0;Teknoloji;ekran
"Ürün zaten aşırı sağlam kaliteli bir şey değil, oyunlar güzel tatmin edici olsa da ilk şarj edişimde çok dikkatli olmama rağmen usb girişi kırıldı.";0;Teknoloji;kalite
